0.0000000 0.5371096 0.5171410 0.4792000
0.0033958 0.5170647 0.5197440 0.4813628
0.0067916 0.4034200 0.5224560 0.4835959
0.0101874 0.4546089 0.5252415 0.4859006
0.0135832 0.4688018 0.5281587 0.4882780
0.0169791 0.5103000 0.5311940 0.4907294
0.0203749 0.5034928 0.5343475 0.4932563
0.0237707 0.5888211 0.5376189 0.4958598
0.0271665 0.4617286 0.5410127 0.4985413
0.0305623 0.4897492 0.5445305 0.5013023
0.0339581 0.5170647 0.5481633 0.5041441
0.0373539 0.5103000 0.5520003 0.5070683
0.0407497 0.6013731 0.5560897 0.5100763
0.0441455 0.5034928 0.5604235 0.5131699
0.0475413 0.5304690 0.5648868 0.5163508
0.0509372 0.4758292 0.5695255 0.5196209
0.0543330 0.5034928 0.5743050 0.5229822
0.0577288 0.4828115 0.5792245 0.5264370
0.0611246 0.5567912 0.5842882 0.5299875
0.0645204 0.5567912 0.5894575 0.5336364
0.0679162 0.5632732 0.5947566 0.5373865
0.0713120 0.5304690 0.6002002 0.5412409
0.0747078 0.5304690 0.6057972 0.5452029
0.0781036 0.5170647 0.6115552 0.5492760
0.0814995 0.5371096 0.6174168 0.5534642
0.0848953 0.5824903 0.6234126 0.5577717
0.0882911 0.5437099 0.6295463 0.5622031
0.0916869 0.5304690 0.6357942 0.5667631
0.0950827 0.6013731 0.6421657 0.5714571
0.0984785 0.5567912 0.6486463 0.5762906
0.1018743 0.6013731 0.6552558 0.5812697
0.1052701 0.6199331 0.6620390 0.5864007
0.1086659 0.5761223 0.6689246 0.5916904
0.1120617 0.6199331 0.6759760 0.5971460
0.1154576 0.6199331 0.6831578 0.6027754
0.1188534 0.6321326 0.6904952 0.6085869
0.1222492 0.6013731 0.6979883 0.6145893
0.1256450 0.6013731 0.7056275 0.6207923
0.1290408 0.5824903 0.7134226 0.6272065
0.1324366 0.6137817 0.7213276 0.6338434
0.1358324 0.6737823 0.7293535 0.6407157
0.1392282 0.6441964 0.7375256 0.6478375
0.1426240 0.6137817 0.7457739 0.6552245
